store_address,count
"9814 International Dr, Orlando, FL 32819, United States",1890
"5725 W Irlo Bronson Memorial Hwy, Kissimmee, FL 34746, United States",1720
"10901 Riverside Dr, North Hollywood, CA 91602, United States",1710
"1415 E State Rd, Fern Park, FL 32730, United States",1700
"632 S R L Thornton Freeway Service Rd, Dallas, TX 75203, United States",1650
"3501 Biscayne Blvd, Miami, FL 33137, United States",1570
"621 Broadway, Newark, NJ 07104, United States",1290
"1100 N US Hwy 377, Roanoke, TX 76262, United States",1168
"72-69 Kissena Blvd, Queens, NY 11367, United States",1140
"724 Broadway, New York, NY 10003, United States",1140
