model,class,rank,term,coefficient
Logistic Regression,negative,1,worst,6.4135
Logistic Regression,negative,2,horrible,4.0979
Logistic Regression,negative,3,terrible,3.7317
Logistic Regression,negative,4,poor,3.3851
Logistic Regression,negative,5,not,3.0278
Logistic Regression,negative,6,rude,3.0114
Logistic Regression,negative,7,awful,3.0074
Logistic Regression,negative,8,gross,2.6854
Logistic Regression,negative,9,minutes,2.668
Logistic Regression,negative,10,dirty,2.6337
Logistic Regression,negative,11,disapointed,2.6329
Logistic Regression,negative,12,closed,2.5742
Logistic Regression,negative,13,disgusting,2.5562
Logistic Regression,negative,14,never,2.4792
Logistic Regression,negative,15,no,2.4173
Logistic Regression,neutral,1,neutral,4.4486
Logistic Regression,neutral,2,however,2.3238
Logistic Regression,neutral,3,okay,1.7725
Logistic Regression,neutral,4,screwed,1.733
Logistic Regression,neutral,5,average,1.709
Logistic Regression,neutral,6,meh,1.6942
Logistic Regression,neutral,7,perimeter,1.6307
Logistic Regression,neutral,8,but,1.6207
Logistic Regression,neutral,9,lacking,1.6135
Logistic Regression,neutral,10,crowd,1.6128
Logistic Regression,neutral,11,fair,1.5662
Logistic Regression,neutral,12,inaccurate,1.5406
Logistic Regression,neutral,13,untidy,1.5181
Logistic Regression,neutral,14,handed,1.5164
Logistic Regression,neutral,15,miss,1.5106
Logistic Regression,positive,1,great,4.4532
Logistic Regression,positive,2,excellent,4.3911
Logistic Regression,positive,3,love,3.6808
Logistic Regression,positive,4,best,2.7571
Logistic Regression,positive,5,good,2.7235
Logistic Regression,positive,6,perfect,2.7008
Logistic Regression,positive,7,loved,2.5444
Logistic Regression,positive,8,delicious,2.5041
Logistic Regression,positive,9,nice,2.4778
Logistic Regression,positive,10,amazing,2.4477
Logistic Regression,positive,11,friendly,2.4249
Logistic Regression,positive,12,awesome,2.3889
Logistic Regression,positive,13,quick,2.3516
Logistic Regression,positive,14,quickly,2.2039
Logistic Regression,positive,15,wonderful,2.0912
SGD Classifier,negative,1,worst,11.8965
SGD Classifier,negative,2,horrible,7.1393
SGD Classifier,negative,3,terrible,6.1361
